School_ID,ISAT_Exceeding_Math,ISAT_Exceeding_Reading,ISAT_Value_Add_Math,ISAT_Value_Add_Read,ISAT_Value_Add_Color_Math,ISAT_Value_Add_Color_Read
610081,47.2,38.3,1.5,1.5,Green,Green
610082,39.5,39.2,-0.1,0.3,Yellow,Yellow
610083,,,,,NDA,NDA
610084,92.8,92.3,1.6,2.3,Green,Green
610085,1.3,0.0,-1.8,-1.6,Red,Red
610086,14.6,9.8,1.0,0.7,Green,Yellow
610087,,,,,NDA,NDA
610088,12.0,11.0,0.4,0.3,Yellow,Yellow
610089,22.0,20.7,-0.5,-0.1,Yellow,Yellow
610090,35.0,36.0,-0.4,0.1,Yellow,Yellow
610091,13.4,12.5,0.6,1.4,Yellow,Green
610092,7.1,6.0,0.6,-0.5,Yellow,Yellow
610093,11.4,7.1,-0.7,1.0,Red,Green
610094,38.2,42.4,0.2,0.0,Yellow,Yellow
610095,46.2,35.9,1.0,1.3,Green,Green
610096,11.3,8.2,-0.8,-1.2,Red,Red
610097,11.2,9.6,-0.1,-0.2,Yellow,Yellow
610098,9.7,7.1,-0.3,0.7,Yellow,Yellow
610099,50.5,39.0,-1.8,-0.9,Red,Red
610100,10.8,6.9,-0.3,-0.2,Yellow,Yellow
610101,40.8,39.9,0.3,0.5,Yellow,Yellow
610102,5.1,7.5,0.7,0.3,Green,Yellow
610103,3.4,6.7,-0.4,0.7,Yellow,Yellow
610104,35.1,29.6,0.2,0.0,Yellow,Yellow
610105,75.1,54.7,1.1,-0.2,Green,Yellow
610106,3.4,1.6,-0.2,-1.4,Yellow,Red
610107,21.8,11.1,0.7,-0.2,Green,Yellow
610108,7.8,4.6,-0.3,-0.2,Yellow,Yellow
610109,28.4,29.0,0.7,0.1,Yellow,Yellow
610110,15.3,10.1,0.3,-0.3,Yellow,Yellow
610111,25.3,15.1,0.5,0.3,Green,Yellow
610112,8.4,6.5,0.4,0.0,Yellow,Yellow
610114,4.6,3.1,-0.3,-0.4,Yellow,Yellow
610115,6.2,5.7,1.7,1.2,Green,Green
610116,5.6,3.5,-0.2,-0.1,Yellow,Yellow
610117,15.9,13.7,-3.1,-0.6,Red,Yellow
610119,9.1,5.9,-1.1,-0.8,Red,Yellow
610120,23.2,13.8,0.7,1.1,Green,Green
610121,22.6,20.9,-0.8,0.7,Red,Yellow
610122,25.5,20.5,-1.9,-1.4,Red,Red
610123,8.1,5.5,0.3,-0.2,Yellow,Yellow
610124,16.0,13.1,-0.2,0.1,Yellow,Yellow
610125,10.7,12.8,-0.4,0.4,Red,Yellow
610126,54.9,39.2,,,NDA,NDA
610127,35.5,27.5,-0.3,0.0,Yellow,Yellow
610128,22.4,18.5,0.1,0.9,Yellow,Green
610129,16.1,11.0,1.7,0.0,Green,Yellow
610130,10.7,20.9,0.1,1.6,Yellow,Green
610131,12.3,11.4,-1.5,-1.3,Red,Red
610132,78.8,79.6,1.7,-0.2,Green,Yellow
